"Period","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"01/01/1990","Exports","British Columbia","Alaska","75.1960","4536.0000","60.32"
"01/01/1990","Exports","British Columbia","California","345904.0000","11144596.0300","32.22"
"01/01/1990","Exports","British Columbia","Oregon","148800.0000","4770498.0000","32.06"
"01/01/1990","Exports","British Columbia","Total","496761.5960","16000590.0300","32.21"
"01/01/1990","Exports","British Columbia","Washington","1982.4000","80960.0000","40.84"
"01/01/1990","Exports","Manitoba","Minnesota","5100.4240","129051.3700","25.30"
"01/01/1990","Exports","Manitoba","North Dakota","85.0000","3922.7600","46.15"
"01/01/1990","Exports","Manitoba","Total","5185.4240","132974.1300","25.64"
"01/01/1990","Exports","New Brunswick","Maine","181005.5500","9087736.5600","49.74"
"01/01/1990","Exports","New Brunswick","Massachusetts","168494.0000","9023246.0000","53.55"
"01/01/1990","Exports","New Brunswick","Total","349499.5500","18110982.5600","51.58"
"01/01/1990","Exports","Ontario","Michigan","121.0800","0.0000","0.00"
"01/01/1990","Exports","Ontario","New York","4085.0000","223516.8000","54.72"
"01/01/1990","Exports","Ontario","Total","45562.0800","2142914.5600","39.04"
"01/01/1990","Exports","Ontario","Vermont","41356.0000","1919397.7600","37.60"
"01/01/1990","Exports","Québec","New York","1691.0000","39616.7500","23.43"
"01/01/1990","Exports","Québec","Total","196783.0000","8164202.5600","38.77"
"01/01/1990","Exports","Québec","Vermont","195092.0000","8124585.8100","38.91"
"01/01/1990","Exports","Total","Alaska","75.1960","4536.0000","60.32"
"01/01/1990","Exports","Total","California","345904.0000","11144596.0300","32.22"
"01/01/1990","Exports","Total","Maine","181005.5500","9087736.5600","49.74"
"01/01/1990","Exports","Total","Massachusetts","168494.0000","9023246.0000","53.55"
"01/01/1990","Exports","Total","Michigan","121.0800","0.0000","0.00"
"01/01/1990","Exports","Total","Minnesota","5100.4240","129051.3700","25.30"
"01/01/1990","Exports","Total","New York","5776.0000","263133.5500","45.56"
"01/01/1990","Exports","Total","North Dakota","85.0000","3922.7600","46.15"
"01/01/1990","Exports","Total","Oregon","148800.0000","4770498.0000","32.06"
"01/01/1990","Exports","Total","Total","1093791.6500","44551663.8400","39.83"
"01/01/1990","Exports","Total","Vermont","236448.0000","10043983.5700","38.68"
"01/01/1990","Exports","Total","Washington","1982.4000","80960.0000","40.84"
"01/01/1990","Imports","Maine","New Brunswick","945.2000","34959.8600","36.99"
"01/01/1990","Imports","Maine","Total","945.2000","34959.8600","36.99"
"01/01/1990","Imports","Michigan","Ontario","1254446.2000","40597559.5800","32.36"
"01/01/1990","Imports","Michigan","Total","1254446.2000","40597559.5800","32.36"
"01/01/1990","Imports","Minnesota","Manitoba","125532.0000","2049569.3000","16.33"
"01/01/1990","Imports","Minnesota","Ontario","16158.0000","561534.3400","34.75"
"01/01/1990","Imports","Minnesota","Total","141690.0000","2611103.6400","18.43"
"01/01/1990","Imports","Montana","British Columbia","10.0000","479.1000","47.91"
"01/01/1990","Imports","Montana","Total","10.0000","479.1000","47.91"
"01/01/1990","Imports","New England-ISO","Québec","28658.0000","1245706.0300","43.47"
"01/01/1990","Imports","New England-ISO","Total","28658.0000","1245706.0300","43.47"
"01/01/1990","Imports","New York","Ontario","6779.0000","1018269.8000","150.21"
"01/01/1990","Imports","New York","Québec","113237.0000","8561113.4300","75.60"
"01/01/1990","Imports","New York","Total","120016.0000","9579383.2300","79.82"
"01/01/1990","Imports","North Dakota","Manitoba","43392.0000","800520.5900","18.45"
"01/01/1990","Imports","North Dakota","Saskatchewan","300.0000","177420.2400","591.40"
"01/01/1990","Imports","North Dakota","Total","43692.0000","977940.8300","22.38"
"01/01/1990","Imports","Total","Alberta","234.0000","10429.1000","44.57"
"01/01/1990","Imports","Total","British Columbia","34.0000","1094.1000","32.18"
"01/01/1990","Imports","Total","Manitoba","168924.0000","2850089.8900","16.87"
"01/01/1990","Imports","Total","New Brunswick","945.2000","34959.8600","36.99"
"01/01/1990","Imports","Total","Ontario","1277383.2000","42177363.7200","33.02"
"01/01/1990","Imports","Total","Québec","141983.0000","9810942.7900","69.10"
"01/01/1990","Imports","Total","Saskatchewan","300.0000","177420.2400","591.40"
"01/01/1990","Imports","Total","Total","1589803.4000","55062299.7000","34.63"
"01/01/1990","Imports","Vermont","Québec","88.0000","4123.3300","46.86"
